local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2018-12-31 21:00:00-03:00,0.009000000000000001,0.008,0.012,5.915
2018-12-31 22:00:00-03:00,0.0,0.0,0.0,5.125
2018-12-31 23:00:00-03:00,0.0,0.0,0.0,4.519
2019-01-01 00:00:00-03:00,0.0,0.0,0.0,4.026
2019-01-01 01:00:00-03:00,0.0,0.0,0.0,3.495
2019-01-01 02:00:00-03:00,0.0,0.0,0.0,3.016
2019-01-01 03:00:00-03:00,0.0,0.0,0.0,2.7800000000000002
2019-01-01 04:00:00-03:00,0.0,0.0,0.0,2.757
2019-01-01 05:00:00-03:00,0.007,0.012,0.005,2.763
2019-01-01 06:00:00-03:00,0.131,0.098,0.054,3.297
2019-01-01 07:00:00-03:00,0.289,0.2,0.11800000000000001,4.448
2019-01-01 08:00:00-03:00,0.372,0.234,0.177,5.812
2019-01-01 09:00:00-03:00,0.403,0.215,0.233,6.896
2019-01-01 10:00:00-03:00,0.401,0.166,0.281,7.619
2019-01-01 11:00:00-03:00,0.436,0.165,0.325,8.408
2019-01-01 12:00:00-03:00,0.423,0.116,0.359,9.01
2019-01-01 13:00:00-03:00,0.511,0.14400000000000002,0.439,9.471
2019-01-01 14:00:00-03:00,0.434,0.10400000000000001,0.387,9.698
2019-01-01 15:00:00-03:00,0.396,0.112,0.335,9.957
2019-01-01 16:00:00-03:00,0.362,0.115,0.293,10.017
2019-01-01 17:00:00-03:00,0.352,0.14300000000000002,0.253,9.959
2019-01-01 18:00:00-03:00,0.309,0.147,0.201,9.61
2019-01-01 19:00:00-03:00,0.167,0.066,0.127,8.796
2019-01-01 20:00:00-03:00,0.096,0.048,0.069,7.851
2019-01-01 21:00:00-03:00,0.017,0.015,0.015,6.477
2019-01-01 22:00:00-03:00,0.0,0.0,0.0,5.23
2019-01-01 23:00:00-03:00,0.0,0.0,0.0,4.664
2019-01-02 00:00:00-03:00,0.0,0.0,0.0,4.224
2019-01-02 01:00:00-03:00,0.0,0.0,0.0,3.622
2019-01-02 02:00:00-03:00,0.0,0.0,0.0,3.062
2019-01-02 03:00:00-03:00,0.0,0.0,0.0,2.614
2019-01-02 04:00:00-03:00,0.0,0.0,0.0,2.144
2019-01-02 05:00:00-03:00,0.004,0.009000000000000001,0.004,1.867
2019-01-02 06:00:00-03:00,0.073,0.045,0.045,2.533
2019-01-02 07:00:00-03:00,0.279,0.19,0.116,4.046
2019-01-02 08:00:00-03:00,0.399,0.267,0.17400000000000002,5.815
