local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2018-12-31 21:00:00-03:00,0.001,0.001,0.005,6.561
2018-12-31 22:00:00-03:00,0.0,0.0,0.0,5.067
2018-12-31 23:00:00-03:00,0.0,0.0,0.0,4.371
2019-01-01 00:00:00-03:00,0.0,0.0,0.0,4.225
2019-01-01 01:00:00-03:00,0.0,0.0,0.0,4.142
2019-01-01 02:00:00-03:00,0.0,0.0,0.0,4.018
2019-01-01 03:00:00-03:00,0.0,0.0,0.0,4.017
2019-01-01 04:00:00-03:00,0.0,0.0,0.0,3.936
2019-01-01 05:00:00-03:00,0.038,0.033,0.021,3.653
2019-01-01 06:00:00-03:00,0.156,0.099,0.079,3.797
2019-01-01 07:00:00-03:00,0.23,0.11900000000000001,0.136,4.085
2019-01-01 08:00:00-03:00,0.271,0.112,0.186,4.283
2019-01-01 09:00:00-03:00,0.256,0.068,0.215,4.584
2019-01-01 10:00:00-03:00,0.242,0.042,0.226,4.843
2019-01-01 11:00:00-03:00,0.242,0.033,0.23600000000000002,5.085
2019-01-01 12:00:00-03:00,0.261,0.032,0.256,5.285
2019-01-01 13:00:00-03:00,0.371,0.04,0.369,5.291
2019-01-01 14:00:00-03:00,0.36,0.08,0.316,5.494
2019-01-01 15:00:00-03:00,0.362,0.1,0.299,5.514
2019-01-01 16:00:00-03:00,0.445,0.20600000000000002,0.28700000000000003,5.621
2019-01-01 17:00:00-03:00,0.371,0.166,0.243,5.508
2019-01-01 18:00:00-03:00,0.241,0.08700000000000001,0.18,5.11
2019-01-01 19:00:00-03:00,0.191,0.085,0.129,4.848
2019-01-01 20:00:00-03:00,0.109,0.058,0.07100000000000001,4.509
2019-01-01 21:00:00-03:00,0.013000000000000001,0.011,0.015,4.072
2019-01-01 22:00:00-03:00,0.0,0.0,0.0,3.507
2019-01-01 23:00:00-03:00,0.0,0.0,0.0,3.088
2019-01-02 00:00:00-03:00,0.0,0.0,0.0,2.774
2019-01-02 01:00:00-03:00,0.0,0.0,0.0,2.726
2019-01-02 02:00:00-03:00,0.0,0.0,0.0,2.819
2019-01-02 03:00:00-03:00,0.0,0.0,0.0,2.876
2019-01-02 04:00:00-03:00,0.0,0.0,0.0,2.8040000000000003
2019-01-02 05:00:00-03:00,0.011,0.009000000000000001,0.013000000000000001,2.92
2019-01-02 06:00:00-03:00,0.045,0.014,0.048,3.355
2019-01-02 07:00:00-03:00,0.106,0.027,0.099,3.936
2019-01-02 08:00:00-03:00,0.339,0.177,0.195,4.784
2019-01-02 09:00:00-03:00,0.312,0.111,0.234,5.445
2019-01-02 10:00:00-03:00,0.297,0.073,0.255,5.886
2019-01-02 11:00:00-03:00,0.302,0.061,0.274,6.375
2019-01-02 12:00:00-03:00,0.295,0.046,0.281,6.757
2019-01-02 13:00:00-03:00,0.443,0.074,0.42,7.174
2019-01-02 14:00:00-03:00,0.305,0.05,0.289,7.412
