local_time,electricity,wind_speed
2016-12-31 21:00:00-03:00,0.76,10.366
2016-12-31 22:00:00-03:00,0.775,10.529
2016-12-31 23:00:00-03:00,0.74,10.169
2017-01-01 00:00:00-03:00,0.656,9.431
2017-01-01 01:00:00-03:00,0.58,8.831
2017-01-01 02:00:00-03:00,0.5650000000000001,8.73
2017-01-01 03:00:00-03:00,0.533,8.499
2017-01-01 04:00:00-03:00,0.547,8.599
2017-01-01 05:00:00-03:00,0.5700000000000001,8.757
2017-01-01 06:00:00-03:00,0.514,8.359
2017-01-01 07:00:00-03:00,0.515,8.368
2017-01-01 08:00:00-03:00,0.592,8.92
2017-01-01 09:00:00-03:00,0.643,9.328
2017-01-01 10:00:00-03:00,0.6960000000000001,9.77
2017-01-01 11:00:00-03:00,0.721,9.999
2017-01-01 12:00:00-03:00,0.745,10.227
2017-01-01 13:00:00-03:00,0.757,10.336
2017-01-01 14:00:00-03:00,0.725,10.03
2017-01-01 15:00:00-03:00,0.661,9.464
2017-01-01 16:00:00-03:00,0.596,8.965
2017-01-01 17:00:00-03:00,0.54,8.543
2017-01-01 18:00:00-03:00,0.426,7.728
2017-01-01 19:00:00-03:00,0.28800000000000003,6.6850000000000005
2017-01-01 20:00:00-03:00,0.20600000000000002,5.964
2017-01-01 21:00:00-03:00,0.193,5.848
2017-01-01 22:00:00-03:00,0.263,6.476
2017-01-01 23:00:00-03:00,0.392,7.482
2017-01-02 00:00:00-03:00,0.5710000000000001,8.774000000000001
2017-01-02 01:00:00-03:00,0.678,9.616
2017-01-02 02:00:00-03:00,0.735,10.129
2017-01-02 03:00:00-03:00,0.6900000000000001,9.72
2017-01-02 04:00:00-03:00,0.622,9.156
2017-01-02 05:00:00-03:00,0.592,8.925
2017-01-02 06:00:00-03:00,0.493,8.209
2017-01-02 07:00:00-03:00,0.448,7.888
2017-01-02 08:00:00-03:00,0.41000000000000003,7.6129999999999995
2017-01-02 09:00:00-03:00,0.32,6.945
2017-01-02 10:00:00-03:00,0.266,6.513
2017-01-02 11:00:00-03:00,0.243,6.316
2017-01-02 12:00:00-03:00,0.278,6.611
2017-01-02 13:00:00-03:00,0.366,7.294
2017-01-02 14:00:00-03:00,0.489,8.182
2017-01-02 15:00:00-03:00,0.622,9.151
2017-01-02 16:00:00-03:00,0.716,9.945
2017-01-02 17:00:00-03:00,0.772,10.488
2017-01-02 18:00:00-03:00,0.794,10.739
2017-01-02 19:00:00-03:00,0.781,10.592
2017-01-02 20:00:00-03:00,0.732,10.093
2017-01-02 21:00:00-03:00,0.661,9.477
2017-01-02 22:00:00-03:00,0.628,9.209
2017-01-02 23:00:00-03:00,0.624,9.168
2017-01-03 00:00:00-03:00,0.638,9.29
2017-01-03 01:00:00-03:00,0.633,9.238
2017-01-03 02:00:00-03:00,0.601,9.0
2017-01-03 03:00:00-03:00,0.589,8.908
2017-01-03 04:00:00-03:00,0.582,8.859
2017-01-03 05:00:00-03:00,0.582,8.854
2017-01-03 06:00:00-03:00,0.582,8.86
2017-01-03 07:00:00-03:00,0.6900000000000001,9.719
2017-01-03 08:00:00-03:00,0.747,10.245
2017-01-03 09:00:00-03:00,0.805,10.876
2017-01-03 10:00:00-03:00,0.858,11.62
2017-01-03 11:00:00-03:00,0.882,12.047
2017-01-03 12:00:00-03:00,0.878,11.959
2017-01-03 13:00:00-03:00,0.874,11.893
2017-01-03 14:00:00-03:00,0.894,12.284
2017-01-03 15:00:00-03:00,0.909,12.662
2017-01-03 16:00:00-03:00,0.911,12.706
2017-01-03 17:00:00-03:00,0.901,12.46
2017-01-03 18:00:00-03:00,0.873,11.864
2017-01-03 19:00:00-03:00,0.8230000000000001,11.096
2017-01-03 20:00:00-03:00,0.726,10.043
2017-01-03 21:00:00-03:00,0.584,8.871
2017-01-03 22:00:00-03:00,0.532,8.484
2017-01-03 23:00:00-03:00,0.521,8.406
2017-01-04 00:00:00-03:00,0.552,8.633
2017-01-04 01:00:00-03:00,0.5680000000000001,8.747
2017-01-04 02:00:00-03:00,0.6000000000000001,8.985
2017-01-04 03:00:00-03:00,0.638,9.284
2017-01-04 04:00:00-03:00,0.666,9.508
2017-01-04 05:00:00-03:00,0.677,9.61
2017-01-04 06:00:00-03:00,0.705,9.847
2017-01-04 07:00:00-03:00,0.807,10.888
2017-01-04 08:00:00-03:00,0.852,11.511
2017-01-04 09:00:00-03:00,0.881,12.019
2017-01-04 10:00:00-03:00,0.902,12.466
2017-01-04 11:00:00-03:00,0.907,12.61
2017-01-04 12:00:00-03:00,0.891,12.208
2017-01-04 13:00:00-03:00,0.87,11.819
2017-01-04 14:00:00-03:00,0.886,12.118
2017-01-04 15:00:00-03:00,0.898,12.384
2017-01-04 16:00:00-03:00,0.888,12.161
2017-01-04 17:00:00-03:00,0.868,11.778
2017-01-04 18:00:00-03:00,0.852,11.508
2017-01-04 19:00:00-03:00,0.8220000000000001,11.091
2017-01-04 20:00:00-03:00,0.737,10.142
2017-01-04 21:00:00-03:00,0.624,9.179
2017-01-04 22:00:00-03:00,0.582,8.855
2017-01-04 23:00:00-03:00,0.528,8.458
2017-01-05 00:00:00-03:00,0.464,7.996
2017-01-05 01:00:00-03:00,0.46900000000000003,8.032
2017-01-05 02:00:00-03:00,0.552,8.636
2017-01-05 03:00:00-03:00,0.605,9.025
2017-01-05 04:00:00-03:00,0.633,9.24
2017-01-05 05:00:00-03:00,0.643,9.328
2017-01-05 06:00:00-03:00,0.594,8.949
2017-01-05 07:00:00-03:00,0.743,10.202
2017-01-05 08:00:00-03:00,0.891,12.209
2017-01-05 09:00:00-03:00,0.919,12.944
2017-01-05 10:00:00-03:00,0.933,13.579
2017-01-05 11:00:00-03:00,0.9390000000000001,13.97
2017-01-05 12:00:00-03:00,0.9390000000000001,13.97
2017-01-05 13:00:00-03:00,0.937,13.801
2017-01-05 14:00:00-03:00,0.9400000000000001,14.179
2017-01-05 15:00:00-03:00,0.9410000000000001,14.378
2017-01-05 16:00:00-03:00,0.9410000000000001,14.299
2017-01-05 17:00:00-03:00,0.9400000000000001,14.812
2017-01-05 18:00:00-03:00,0.929,15.616
2017-01-05 19:00:00-03:00,0.89,16.926
2017-01-05 20:00:00-03:00,0.849,17.809
2017-01-05 21:00:00-03:00,0.84,18.003
2017-01-05 22:00:00-03:00,0.849,17.826
2017-01-05 23:00:00-03:00,0.869,17.414
2017-01-06 00:00:00-03:00,0.888,16.965
2017-01-06 01:00:00-03:00,0.9,16.663
2017-01-06 02:00:00-03:00,0.892,16.873
2017-01-06 03:00:00-03:00,0.889,16.933
2017-01-06 04:00:00-03:00,0.91,16.361
2017-01-06 05:00:00-03:00,0.9380000000000001,15.04
2017-01-06 06:00:00-03:00,0.919,12.975
2017-01-06 07:00:00-03:00,0.864,11.705
2017-01-06 08:00:00-03:00,0.843,11.373
2017-01-06 09:00:00-03:00,0.765,10.417
2017-01-06 10:00:00-03:00,0.649,9.378
2017-01-06 11:00:00-03:00,0.561,8.698
2017-01-06 12:00:00-03:00,0.517,8.385
2017-01-06 13:00:00-03:00,0.517,8.38
2017-01-06 14:00:00-03:00,0.536,8.516
2017-01-06 15:00:00-03:00,0.559,8.681000000000001
2017-01-06 16:00:00-03:00,0.586,8.885
2017-01-06 17:00:00-03:00,0.604,9.018
2017-01-06 18:00:00-03:00,0.605,9.027
2017-01-06 19:00:00-03:00,0.588,8.894
2017-01-06 20:00:00-03:00,0.561,8.701
2017-01-06 21:00:00-03:00,0.5690000000000001,8.756
2017-01-06 22:00:00-03:00,0.61,9.065
2017-01-06 23:00:00-03:00,0.621,9.145
2017-01-07 00:00:00-03:00,0.606,9.03
2017-01-07 01:00:00-03:00,0.579,8.826
2017-01-07 02:00:00-03:00,0.579,8.828
2017-01-07 03:00:00-03:00,0.586,8.886
2017-01-07 04:00:00-03:00,0.618,9.127
2017-01-07 05:00:00-03:00,0.646,9.353
2017-01-07 06:00:00-03:00,0.616,9.116
2017-01-07 07:00:00-03:00,0.848,11.456
2017-01-07 08:00:00-03:00,0.912,12.748
2017-01-07 09:00:00-03:00,0.926,13.218
2017-01-07 10:00:00-03:00,0.935,13.703
2017-01-07 11:00:00-03:00,0.9390000000000001,13.984
2017-01-07 12:00:00-03:00,0.9400000000000001,14.119
2017-01-07 13:00:00-03:00,0.9400000000000001,14.201
2017-01-07 14:00:00-03:00,0.9410000000000001,14.376
2017-01-07 15:00:00-03:00,0.9410000000000001,14.493
2017-01-07 16:00:00-03:00,0.9410000000000001,14.515
2017-01-07 17:00:00-03:00,0.9410000000000001,14.431
2017-01-07 18:00:00-03:00,0.9380000000000001,13.948
2017-01-07 19:00:00-03:00,0.919,12.947
2017-01-07 20:00:00-03:00,0.845,11.408
2017-01-07 21:00:00-03:00,0.729,10.07
2017-01-07 22:00:00-03:00,0.685,9.668
2017-01-07 23:00:00-03:00,0.639,9.292
2017-01-08 00:00:00-03:00,0.614,9.099
2017-01-08 01:00:00-03:00,0.615,9.111
2017-01-08 02:00:00-03:00,0.611,9.077
2017-01-08 03:00:00-03:00,0.611,9.076
2017-01-08 04:00:00-03:00,0.6000000000000001,8.986
2017-01-08 05:00:00-03:00,0.5730000000000001,8.792
2017-01-08 06:00:00-03:00,0.5690000000000001,8.755
2017-01-08 07:00:00-03:00,0.646,9.349
2017-01-08 08:00:00-03:00,0.712,9.901
2017-01-08 09:00:00-03:00,0.795,10.751
2017-01-08 10:00:00-03:00,0.834,11.249
2017-01-08 11:00:00-03:00,0.857,11.591
2017-01-08 12:00:00-03:00,0.869,11.801
2017-01-08 13:00:00-03:00,0.874,11.885
2017-01-08 14:00:00-03:00,0.866,11.734
2017-01-08 15:00:00-03:00,0.8240000000000001,11.111
2017-01-08 16:00:00-03:00,0.75,10.278
2017-01-08 17:00:00-03:00,0.71,9.891
2017-01-08 18:00:00-03:00,0.71,9.894
2017-01-08 19:00:00-03:00,0.6880000000000001,9.688
2017-01-08 20:00:00-03:00,0.624,9.179
2017-01-08 21:00:00-03:00,0.579,8.826
2017-01-08 22:00:00-03:00,0.517,8.381
2017-01-08 23:00:00-03:00,0.487,8.164
2017-01-09 00:00:00-03:00,0.501,8.262
2017-01-09 01:00:00-03:00,0.535,8.506
2017-01-09 02:00:00-03:00,0.609,9.054
2017-01-09 03:00:00-03:00,0.663,9.484
2017-01-09 04:00:00-03:00,0.671,9.557
2017-01-09 05:00:00-03:00,0.664,9.499
2017-01-09 06:00:00-03:00,0.664,9.489
2017-01-09 07:00:00-03:00,0.757,10.339
2017-01-09 08:00:00-03:00,0.8150000000000001,10.994
2017-01-09 09:00:00-03:00,0.852,11.521
2017-01-09 10:00:00-03:00,0.883,12.05
2017-01-09 11:00:00-03:00,0.91,12.691
2017-01-09 12:00:00-03:00,0.919,12.971
2017-01-09 13:00:00-03:00,0.923,13.098
2017-01-09 14:00:00-03:00,0.931,13.439
2017-01-09 15:00:00-03:00,0.934,13.581
2017-01-09 16:00:00-03:00,0.923,13.101
2017-01-09 17:00:00-03:00,0.903,12.504
2017-01-09 18:00:00-03:00,0.885,12.105
