local_time,electricity,wind_speed
2018-12-31 21:00:00-03:00,0.936,15.031
2018-12-31 22:00:00-03:00,0.966,16.238
2018-12-31 23:00:00-03:00,0.966,16.269
2019-01-01 00:00:00-03:00,0.967,16.287
2019-01-01 01:00:00-03:00,0.9510000000000001,15.543
2019-01-01 02:00:00-03:00,0.913,14.375
2019-01-01 03:00:00-03:00,0.897,14.016
2019-01-01 04:00:00-03:00,0.898,14.045
2019-01-01 05:00:00-03:00,0.868,13.46
2019-01-01 06:00:00-03:00,0.8270000000000001,12.78
2019-01-01 07:00:00-03:00,0.8290000000000001,12.816
2019-01-01 08:00:00-03:00,0.852,13.178
2019-01-01 09:00:00-03:00,0.879,13.651
2019-01-01 10:00:00-03:00,0.893,13.937
2019-01-01 11:00:00-03:00,0.908,14.271
2019-01-01 12:00:00-03:00,0.922,14.614
2019-01-01 13:00:00-03:00,0.927,14.763
2019-01-01 14:00:00-03:00,0.924,14.666
2019-01-01 15:00:00-03:00,0.93,14.828
2019-01-01 16:00:00-03:00,0.93,14.828
2019-01-01 17:00:00-03:00,0.92,14.57
2019-01-01 18:00:00-03:00,0.902,14.14
2019-01-01 19:00:00-03:00,0.872,13.522
2019-01-01 20:00:00-03:00,0.833,12.87
2019-01-01 21:00:00-03:00,0.753,11.823
2019-01-01 22:00:00-03:00,0.683,11.065
2019-01-01 23:00:00-03:00,0.5670000000000001,9.998
2019-01-02 00:00:00-03:00,0.47300000000000003,9.202
2019-01-02 01:00:00-03:00,0.426,8.812
2019-01-02 02:00:00-03:00,0.399,8.57
2019-01-02 03:00:00-03:00,0.396,8.549
2019-01-02 04:00:00-03:00,0.41200000000000003,8.684
2019-01-02 05:00:00-03:00,0.421,8.758
2019-01-02 06:00:00-03:00,0.419,8.742
2019-01-02 07:00:00-03:00,0.459,9.087
2019-01-02 08:00:00-03:00,0.49,9.34
2019-01-02 09:00:00-03:00,0.492,9.361
2019-01-02 10:00:00-03:00,0.482,9.277
2019-01-02 11:00:00-03:00,0.47000000000000003,9.167
2019-01-02 12:00:00-03:00,0.462,9.11
2019-01-02 13:00:00-03:00,0.46,9.093
2019-01-02 14:00:00-03:00,0.455,9.047
2019-01-02 15:00:00-03:00,0.46900000000000003,9.165
